CATAID,LOGIT_CLASS(1-UVUP;0-UVWEAK),REDSHIFT,SERSIC_GALFIT,SERSIC_SEXTRACTOR
301601,0,0.07014,3.3709,3.67801
381867,0,0.19723,4.9503,2.591786
386673,0,0.05827,3.8091,8.41974
227180,0,0.14515,4.5037,1.552768
229330,0,0.16928,2.9954,2.22297
220396,0,0.01938,2.6694,2.66805
49966,0,0.11957,4.6734,6.027612
39730,1,0.26324,2.936,3.05453
210907,0,0.15809,4.3857,4.250046
30945,0,0.08087,7.2145,6.436642
71177,0,0.18009,8.7488,1.98944
278241,0,0.09753,3.3248,7.624682
622482,0,0.10582,1.7164,1.570031
63305,0,0.05191,2.3016,3.305653
600630,0,0.20209,3.3165,3.177303
279283,0,0.10021,5.7374,5.604698
287856,0,0.13342,3.9736,3.652284
537467,0,0.04025,1.8613,4.156008
98917,0,0.25926,3.4265,2.085281
106342,0,0.12618,7.0045,5.087506
381229,0,0.05,4.406,5.92504
63391,1,0.22575,8.2298,3.041409
185758,0,0.20149,2.0393,3.197385
623544,0,0.16392,2.3892,2.427473
549404,0,0.15469,3.3962,3.25681
62601,0,0.13981,4.9426,5.535148
98874,1,0.14733,2.7832,1.995756
518718,0,0.243,4.4991,3.323433
617842,0,0.18919,3.8981,2.542455
49943,0,0.22763,3.484,3.166771
214777,0,0.06982,4.4469,5.955041
62707,0,0.13602,2.4166,2.936611
618100,0,0.05353,4.9758,5.011344
609246,0,0.09719,6.3869,8.44373
85025,0,0.25723,3.1812,2.62751
77709,0,0.09702,4.0078,4.386284
8993,1,0.06451,1.7695,2.22653
418630,0,0.05486,3.7832,4.051169
320765,0,0.13932,3.8645,4.532176
196326,1,0.05688,2.9342,2.941742
184630,0,0.26553,2.0623,5.20926
544151,1,0.22639,3.2248,2.379063
289198,0,0.01937,1.8156,1.145746
203565,0,0.16828,5.7259,3.673071
568891,0,0.16213,3.8067,3.912377
505980,0,0.17398,4.3704,4.258562
527088,0,0.28414,3.0622,2.459657
535086,0,0.17066,4.4339,3.471591
535873,0,0.13168,2.6101,1.888608
93060,0,0.2162,5.9931,4.75162
219801,0,0.10603,4.9943,5.535114
372126,0,0.07255,3.4258,1.958029
300508,0,0.15746,3.2201,4.607519
177969,0,0.07591,4.409,4.685435
230836,0,0.0191,4.6913,2.960396
16521,0,0.05545,2.4598,2.383881
584102,0,0.12757,4.6237,5.971191
594078,0,0.05678,6.6584,4.575311
618947,0,0.05593,3.7466,5.358528
527589,1,0.13634,6.079,6.625742
210670,0,0.09204,3.125,3.335553
99698,0,0.13064,2.5329,3.065598
23225,0,0.02004,4.2211,4.11271
31623,0,0.09244,4.1273,5.128842
423092,0,0.28161,2.9508,2.476183
396735,0,0.07627,3.9115,4.070215
31366,0,0.13111,1.7816,2.296523
23153,0,0.08476,3.1488,4.022342
593288,0,0.38331,4.578,0.006059299
230793,0,0.01727,2.3559,1.586707
47856,0,0.0497,1.2334,0.5425997
227750,0,0.16615,8.1017,2.702328
71683,0,0.10628,4.7566,3.855818
239666,0,0.13573,7.6039,2.889724
380734,0,0.07243,4.308,5.559135
419345,0,0.03663,2.6298,2.622525
106296,0,0.12652,4.1662,5.054206
273257,1,0.12502,1.6041,2.946112
569057,0,0.08563,6.0575,5.893191
40491,0,0.07724,2.9929,3.178756
143889,0,0.06049,2.9172,7.328789
289725,0,0.19811,5.7068,7.830093
203256,0,0.19271,3.4911,1.427332
238278,0,0.05452,2.6572,2.347313
71426,0,0.11724,3.2246,1.843983
550391,0,0.19889,4.333,2.92675
85120,0,0.2103,2.6801,1.377913
71552,0,0.39734,4.5521,1.926375
228514,0,0.13173,3.4015,4.496054
272590,0,0.15921,4.9412,3.076723
272719,0,0.2375,4.1084,4.287112
491548,0,0.11702,5.0849,5.056401
575409,0,0.16002,4.8248,5.573985
559969,1,0.1313,5.0926,6.723502
592601,0,0.12462,4.9377,5.97997
550285,1,0.16262,4.7805,5.227098
545840,0,0.14622,3.8796,5.156525
64081,0,0.2826,1.6178,1.363349
609661,1,0.10522,3.3317,4.469365
48681,0,0.0889,4.3132,7.324026
600172,0,0.16139,3.8866,3.057886
41104,0,0.07134,4.2508,4.573801
543501,0,0.0515,3.1724,2.943313
534585,0,0.07756,3.0865,0.9530092
219875,0,0.17708,3.9156,1.790145
278802,0,0.04123,2.9655,1.012533
301910,1,0.25795,2.4711,0.770213
203302,0,0.19152,6.0934,5.730086
186322,0,0.1226,3.2811,3.976154
238959,0,0.16852,3.8063,2.826936
560115,0,0.12997,2.939,2.369317
54500,0,0.08071,7.364,5.499593
31168,1,0.12623,2.2022,2.206544
535392,0,0.225,3.4774,4.458412
54695,0,0.10627,1.952,2.074012
397453,0,0.08071,4.9345,8.824835
186468,0,0.07013,3.3842,3.997955
63849,0,0.1576,6.1445,3.663323
382219,0,0.11825,3.4698,5.547788
239380,0,0.10011,5.753,3.486313
299094,0,0.20611,2.4649,4.0254
320161,1,0.28986,3.8555,1.633287
550649,0,0.15606,4.1962,3.408806
301696,0,0.11963,4.6457,3.935571
55373,1,0.08238,2.8997,3.099423
63972,0,0.12341,6.0417,4.925907
8953,0,0.08207,6.2178,9.5981
55224,0,0.12002,2.3092,1.138128
418186,0,0.12934,4.3252,3.67356
7742,0,0.07653,2.7897,2.898616
7868,1,0.13087,4.3704,4.796084
105881,0,0.12334,3.2813,3.967264
237992,1,0.17641,4.3769,3.301936
512475,0,0.12201,4.1904,6.074706
17208,1,0.17436,7.6157,6.65429
231354,1,0.19199,4.4823,1.597053
491711,0,0.17354,4.449,4.935502
251268,0,0.08758,4.3634,4.6178
250183,0,0.05888,3.8751,7.259445
618143,0,0.05264,3.7125,2.879913
32270,0,0.08941,4.9489,3.50557
382211,1,0.24551,0.5573,0.06680556
144367,0,0.11326,7.4918,3.755349
290203,1,0.06918,3.9358,3.780288
289118,0,0.02002,1.3757,1.092957
144937,0,0.17894,4.0712,3.893471
568059,0,0.13917,3.7727,3.608906
7570,0,0.10646,2.0688,1.497636
593849,0,0.12359,4.4953,7.046294
586379,0,0.18558,4.6044,2.383043
136616,0,0.04306,3.2781,9.16926
17415,1,0.13185,3.1501,2.667722
21966,0,0.12629,5.7026,5.463241
204252,1,0.30933,5.9473,3.710873
535793,0,0.12966,5.5518,4.293041
320938,0,0.08448,7.0944,7.234608
216716,0,0.09137,3.9872,3.236716
372190,0,0.07149,1.0441,0.9636812
238885,0,0.12755,4.11,3.291729
227542,1,0.1748,3.4735,3.7528
53877,0,0.09874,2.0876,0.9698815
551576,0,0.05532,2.0689,1.617172
40412,1,0.26391,2.7193,1.339605
378144,0,0.05735,3.5654,2.515887
289877,0,0.09896,5.7351,6.016557
486170,0,0.13722,4.9578,4.469088
383185,1,0.08555,2.1846,3.528683
7416,0,0.25293,3.8112,2.225801
185329,1,0.25612,2.5026,1.066779
227905,0,0.05481,3.5765,3.64073
31776,0,0.19315,6.1164,3.189777
106769,0,0.11431,2.5588,1.559518
618739,0,0.41143,4.1649,2.720529
619632,0,0.30367,2.9311,1.803898
623542,0,0.19787,3.7793,2.351706
238499,0,0.08301,2.983,2.346183
300554,0,0.04989,3.1571,2.937768
69663,0,0.20672,3.5199,2.925598
84594,0,0.16982,7.1334,4.260577
584464,1,0.1073,2.2037,0.8618315
23535,0,0.15752,2.9944,3.408535
647263,1,0.13503,6.5102,5.438717
238204,1,0.05415,3.4625,2.48324
230453,1,0.07655,2.6371,3.564946
227178,0,0.14314,3.5071,5.422464
63386,1,0.13008,2.8338,2.950179
136725,0,0.10753,2.6111,2.473508
136358,0,0.13527,5.8446,3.540551
592207,0,0.2564,1.5758,2.704012
618667,0,0.13344,3.0502,4.521198
71063,0,0.07959,5.1218,4.615849
289537,1,0.18716,5.5198,4.380727
185089,0,0.17446,3.6513,4.323502
14601,0,0.11337,5.5897,4.582388
567930,1,0.26103,1.9818,1.828819
559523,0,0.13354,1.1432,1.054322
22836,1,0.07773,1.6764,2.437865
584375,0,0.10933,4.0183,5.51438
238130,0,0.09307,3.1839,3.646452
196916,0,0.18426,3.7192,3.664117
23492,0,0.12233,4.2882,4.553957
372010,0,0.1027,2.4513,2.383698
106288,0,0.07785,4.6732,6.091312
303102,0,0.08492,3.5918,2.543745
586608,0,0.14871,2.4121,2.878382
598965,1,0.16554,4.1839,7.990025
619560,0,0.17958,3.5771,2.172619
526811,0,0.07004,4.9459,6.613511
559818,0,0.10752,4.5102,4.697347
573778,1,0.20269,2.6723,4.223586
610349,0,0.19835,5.383,5.682097
609330,0,0.10615,3.519,3.555817
145037,1,0.06015,7.4319,3.633287
289574,0,0.29489,6.2869,5.670791
39579,0,0.13812,3.7212,2.672703
40300,0,0.07746,2.9112,2.579144
543674,0,0.09039,3.8828,4.082103
143291,0,0.04489,5.2492,4.607016
205086,0,0.05551,2.4595,1.677555
617989,0,0.05394,3.1842,2.993748
62172,0,0.11245,6.0102,1.762976
227387,1,0.13888,4.5801,5.550892
287891,0,0.07545,1.8485,1.530104
215897,0,0.30093,3.2196,2.532059
14552,0,0.07673,5.1046,6.286697
301948,0,0.26489,2.1075,3.319884
85023,1,0.2454,3.4091,3.835702
512502,0,0.10517,4.0038,3.89704
600322,1,0.15697,1.4433,0.5014508
70187,0,0.10615,4.4396,6.330733
6964,0,0.07357,4.1001,0.4657272
238811,0,0.16117,4.405,3.886809
545311,0,0.10558,3.993,4.178835
186537,0,0.06777,3.6588,3.718879
62699,0,0.13723,7.502,5.236613
55148,0,0.09409,3.6502,3.43522
463634,0,0.12778,4.4558,5.310282
460379,0,0.11359,6.5524,6.341025
228509,0,0.11345,3.1283,4.334302
70270,0,0.13004,3.1616,1.934138
585131,0,0.11823,4.7924,6.893628
54890,0,0.17932,2.4681,1.707236
561092,1,0.20394,4.1235,3.633899
273845,0,0.07869,3.6691,3.990829
346837,0,0.05791,3.9664,6.311316
422830,0,0.05928,2.6428,3.240085
377025,0,0.10308,4.0652,3.397383
536463,0,0.07915,2.4703,3.148326
574090,0,0.18932,3.9491,3.047212
551500,0,0.16607,3.8737,4.278969
215336,0,0.11288,5.4327,5.700725
382154,0,0.05681,4.7503,7.054071
78591,1,0.17528,3.0196,3.282756
620150,0,0.06843,2.1729,7.250996
144562,0,0.08779,2.471,4.066816
184359,0,0.1075,3.3848,2.450676
71378,0,0.11941,4.7665,4.355616
592430,0,0.09564,4.793,5.351825
618000,0,0.12616,7.9439,1.913874
17355,0,0.09888,1.8342,4.51848
289740,0,0.19624,3.8427,3.07886
574663,1,0.19941,5.9089,5.465665
346577,0,0.20039,3.6731,4.205566
593807,0,0.09414,1.9443,3.301454
599978,0,0.10975,2.3102,3.205577
216424,1,0.3036,2.9199,3.559574
214211,0,0.07765,4.9377,6.049645
298347,0,0.12341,4.3019,4.820885
504730,0,0.0545,3.6718,5.209734
17209,0,0.09935,2.0366,2.196554
83824,0,0.20754,5.1667,4.081399
228652,0,0.1377,4.5827,6.066644
53948,0,0.25776,4.1048,3.159367
298611,0,0.0843,2.7514,5.714202
215034,1,0.19252,7.3379,2.783105
569364,0,0.10614,3.392,4.742448
376066,1,0.09484,5.9893,6.244032
492055,0,0.13668,2.7404,7.564571
215356,0,0.10816,2.4589,3.997649
197251,1,0.12878,2.7149,2.555477
536566,0,0.19072,5.4925,4.360885
31163,0,0.1264,6.28,4.823593
509393,0,0.08308,4.6037,6.520661
618656,0,0.10859,5.8413,1.858298
549771,0,0.15907,3.5778,3.650056
371683,1,0.07023,2.8082,3.668504
346890,0,0.05826,4.3764,3.818085
144453,0,0.13121,3.8845,4.159324
105667,1,0.12399,3.7151,5.484266
99428,0,0.02041,3.3715,2.205666
144342,0,0.08056,1.9657,2.90185
525772,0,0.25937,3.109,2.482229
298994,0,0.39096,3.2008,3.355088
