CATAID,logit_class(1-uvup;2-uvweak),redshift
301601,0,0.07014
381867,0,0.19723
386673,0,0.05827
227180,0,0.14515
229330,0,0.16928
220396,0,0.01938
49966,0,0.11957
39730,1,0.26324
210907,0,0.15809
30945,0,0.08087
71177,0,0.18009
278241,0,0.09753
622482,0,0.10582
63305,0,0.05191
600630,0,0.20209
279283,0,0.10021
287856,0,0.13342
537467,0,0.04025
98917,0,0.25926
106342,0,0.12618
381229,0,0.05
63391,1,0.22575
185758,0,0.20149
623544,0,0.16392
549404,0,0.15469
62601,0,0.13981
98874,1,0.14733
518718,0,0.243
617842,0,0.18919
49943,0,0.22763
214777,0,0.06982
62707,0,0.13602
618100,0,0.05353
609246,0,0.09719
85025,0,0.25723
77709,0,0.09702
8993,1,0.06451
418630,0,0.05486
320765,0,0.13932
196326,1,0.05688
184630,0,0.26553
544151,1,0.22639
289198,0,0.01937
203565,0,0.16828
568891,0,0.16213
505980,0,0.17398
527088,0,0.28414
535086,0,0.17066
535873,0,0.13168
93060,0,0.2162
219801,0,0.10603
372126,0,0.07255
300508,0,0.15746
177969,0,0.07591
230836,0,0.0191
16521,0,0.05545
584102,0,0.12757
594078,0,0.05678
618947,0,0.05593
527589,1,0.13634
210670,0,0.09204
99698,0,0.13064
23225,0,0.02004
31666,0,0.11817
31623,0,0.09244
423092,0,0.28161
396735,0,0.07627
31366,0,0.13111
23153,0,0.08476
593288,0,0.38331
230793,0,0.01727
47856,0,0.0497
227750,0,0.16615
71683,0,0.10628
239666,0,0.13573
380734,0,0.07243
419345,0,0.03663
106296,0,0.12652
273257,1,0.12502
569057,0,0.08563
40491,0,0.07724
143889,0,0.06049
289725,0,0.19811
203256,0,0.19271
238278,0,0.05452
71426,0,0.11724
550391,0,0.19889
85120,0,0.2103
71552,0,0.39734
228514,0,0.13173
272590,0,0.15921
272719,0,0.2375
491548,0,0.11702
575409,0,0.16002
559969,1,0.1313
592601,0,0.12462
593918,0,0.44683
550285,1,0.16262
545840,0,0.14622
64081,0,0.2826
609661,1,0.10522
48681,0,0.0889
600172,0,0.16139
41104,0,0.07134
543501,0,0.0515
534585,0,0.07756
219875,0,0.17708
278802,0,0.04123
301910,1,0.25795
203302,0,0.19152
186322,0,0.1226
238959,0,0.16852
560115,0,0.12997
54500,0,0.08071
31168,1,0.12623
535392,0,0.225
54695,0,0.10627
397453,0,0.08071
202406,0,0.16765
186468,0,0.07013
63849,0,0.1576
382219,0,0.11825
239380,0,0.10011
299094,0,0.20611
320161,1,0.28986
550649,0,0.15606
301696,0,0.11963
55373,1,0.08238
63972,0,0.12341
8953,0,0.08207
55224,0,0.12002
418186,0,0.12934
7742,0,0.07653
7868,1,0.13087
105881,0,0.12334
237992,1,0.17641
512475,0,0.12201
17208,1,0.17436
231354,1,0.19199
491711,0,0.17354
251268,0,0.08758
250183,0,0.05888
618143,0,0.05264
32270,0,0.08941
382211,1,0.24551
144367,0,0.11326
290203,1,0.06918
289118,0,0.02002
144937,0,0.17894
568059,0,0.13917
7570,0,0.10646
593849,0,0.12359
586379,0,0.18558
136616,0,0.04306
17415,1,0.13185
21966,0,0.12629
204252,1,0.30933
535793,0,0.12966
320938,0,0.08448
216716,0,0.09137
372190,0,0.07149
544749,0,0.03034
238885,0,0.12755
227542,1,0.1748
53877,0,0.09874
551576,0,0.05532
40412,1,0.26391
535177,0,0.11709
378144,0,0.05735
289877,0,0.09896
486170,0,0.13722
383185,1,0.08555
7416,0,0.25293
185329,1,0.25612
227905,0,0.05481
31776,0,0.19315
106769,0,0.11431
618739,0,0.41143
619632,0,0.30367
623542,0,0.19787
238499,0,0.08301
300554,0,0.04989
69663,0,0.20672
84594,0,0.16982
584464,1,0.1073
23535,0,0.15752
647263,1,0.13503
238204,1,0.05415
230453,1,0.07655
227178,0,0.14314
63386,1,0.13008
136725,0,0.10753
136358,0,0.13527
592207,0,0.2564
618667,0,0.13344
71063,0,0.07959
289537,1,0.18716
185089,0,0.17446
14601,0,0.11337
567930,1,0.26103
559523,0,0.13354
22836,1,0.07773
584375,0,0.10933
238130,0,0.09307
196916,0,0.18426
23492,0,0.12233
372010,0,0.1027
106288,0,0.07785
303102,0,0.08492
586608,0,0.14871
598965,1,0.16554
619560,0,0.17958
526811,0,0.07004
559818,0,0.10752
573778,1,0.20269
610349,0,0.19835
609330,0,0.10615
145037,1,0.06015
289574,0,0.29489
39579,0,0.13812
40300,0,0.07746
543674,0,0.09039
144207,0,0.17323
143291,0,0.04489
205086,0,0.05551
617989,0,0.05394
62172,0,0.11245
227387,1,0.13888
287891,0,0.07545
215897,0,0.30093
14552,0,0.07673
301948,0,0.26489
85023,1,0.2454
371878,0,0.10949
512502,0,0.10517
600322,1,0.15697
70187,0,0.10615
6964,0,0.07357
238811,0,0.16117
545311,0,0.10558
186537,0,0.06777
62699,0,0.13723
55148,0,0.09409
463634,0,0.12778
460379,0,0.11359
228509,0,0.11345
70270,0,0.13004
585131,0,0.11823
54890,0,0.17932
561092,1,0.20394
273845,0,0.07869
346837,0,0.05791
422830,0,0.05928
377025,0,0.10308
536463,0,0.07915
574090,0,0.18932
551500,0,0.16607
215336,0,0.11288
382154,0,0.05681
78591,1,0.17528
620150,0,0.06843
144562,0,0.08779
184359,0,0.1075
71378,0,0.11941
592430,0,0.09564
618000,0,0.12616
17355,0,0.09888
289740,0,0.19624
574663,1,0.19941
346577,0,0.20039
593807,0,0.09414
599978,0,0.10975
216424,1,0.3036
214211,0,0.07765
215783,0,0.25425
298347,0,0.12341
504730,0,0.0545
17209,0,0.09935
83824,0,0.20754
228652,0,0.1377
53948,0,0.25776
298611,0,0.0843
215034,1,0.19252
569364,0,0.10614
376066,1,0.09484
492055,0,0.13668
215356,0,0.10816
197251,1,0.12878
536566,0,0.19072
31163,0,0.1264
509393,0,0.08308
618656,0,0.10859
549771,0,0.15907
371683,1,0.07023
346890,0,0.05826
144453,0,0.13121
105667,1,0.12399
99428,0,0.02041
144342,0,0.08056
525772,0,0.25937
298994,0,0.39096
288692,0,0.07734
138469,0,0.13054
288755,1,0.16135
288990,0,0.07762
48179,0,0.17547
493748,1,0.14735
64051,0,0.21147
297666,1,0.14318
296690,0,0.11597
79756,0,0.09954
8717,0,0.25103
537004,0,0.07921
535642,0,0.07686
271751,0,0.13289
22992,0,0.20042
215481,0,0.166
92175,0,0.1215
536722,0,0.11466
535683,1,0.27739
237819,0,0.10542
238412,0,0.0553
601013,0,0.05289
91963,0,0.04998
570207,0,0.04318
419290,0,0.1428
601102,0,0.05274
15377,0,0.16976
15756,1,0.12385
184589,1,0.24304
487113,0,0.09962
559977,0,0.13387
372123,0,0.07123
496997,0,0.07686
48560,0,0.13136
610545,0,0.07747
526363,0,0.10145
77705,0,0.05264
288751,1,0.16166
536402,1,0.18165
288877,1,0.07814
289089,0,0.01638
289664,0,0.2525
567972,0,0.18516
567803,0,0.08333
85019,0,0.07861
215289,0,0.0576
550044,0,0.21398
23748,0,0.1251
611581,0,0.17071
319299,0,0.08214
319067,0,0.05331
371882,0,0.05148
545490,0,0.21661
48010,0,0.05493
535486,1,0.11942
84661,1,0.20258
71468,0,0.18636
584820,0,0.16299
196328,0,0.1695
84675,0,0.1306
92782,0,0.08637
85674,0,0.25871
386137,0,0.11055
98358,1,0.14022
91697,0,0.05375
460452,0,0.11441
376906,0,0.11671
375649,0,0.14931
324351,1,0.05727
618133,0,0.05342
278300,0,0.1928
505765,0,0.08039
228708,0,0.09397
24303,0,0.11314
62932,0,0.18417
64123,0,0.21966
526246,1,0.13687
527482,0,0.03939
15410,0,0.27849
239557,1,0.10884
278618,0,0.17735
272043,0,0.07795
143845,1,0.25968
297954,1,0.15983
296677,0,0.02548
7687,1,0.20825
372452,0,0.05264
376585,0,0.05287
78120,0,0.27512
220112,0,0.01968
239090,0,0.08409
70844,0,0.11544
70973,1,0.09937
463146,1,0.05906
396874,0,0.07687
40516,0,0.13088
204048,0,0.19859
216219,0,0.09405
220218,0,0.04772
388513,0,0.08404
377410,0,0.05581
77227,1,0.05439
549097,0,0.16849
320507,1,0.13689
319806,0,0.11076
319869,0,0.11698
460457,0,0.13877
463197,0,0.1164
39855,0,0.13241
567474,0,0.17396
143221,0,0.14466
77350,0,0.12736
15899,0,0.10264
560283,0,0.17824
71119,0,0.08238
83945,1,0.13574
91691,0,0.05477
278443,0,0.13291
202786,0,0.21136
319293,0,0.05421
301761,0,0.07139
319651,0,0.08412
371788,0,0.07081
323198,1,0.19552
418188,0,0.1295
272964,0,0.07808
584156,0,0.22662
221017,0,0.07494
611000,0,0.07774
599834,0,0.05209
54376,0,0.1627
70970,0,0.09986
185786,0,0.2311
492486,0,0.05541
40977,0,0.09408
7489,0,0.12823
178552,0,0.15259
318841,0,0.12824
15916,0,0.1262
8299,1,0.08857
599272,0,0.2626
99039,0,0.14738
106181,0,0.12695
216184,0,0.01878
320687,0,0.13903
547814,0,0.15701
376703,0,0.052
387125,1,0.21413
204953,0,0.32833
518563,0,0.19325
514218,0,0.08484
534644,0,0.04732
543770,0,0.08715
299056,0,0.14129
22883,0,0.06413
574235,0,0.26608
544580,0,0.14915
610012,0,0.16094
609548,1,0.09378
16429,0,0.03053
54456,0,0.16329
600420,0,0.05228
600929,0,0.05347
219763,0,0.19935
16317,0,0.03411
549975,0,0.17342
184654,1,0.12319
196164,1,0.16858
40702,0,0.2019
485928,0,0.22063
491578,0,0.11238
301283,0,0.27053
289435,0,0.18732
299010,0,0.1959
536490,0,0.21112
79688,0,0.04267
545020,1,0.09463
507903,0,0.1395
584024,1,0.32772
273843,0,0.07922
569300,0,0.10678
559533,0,0.13424
289203,0,0.07698
288370,1,0.19633
622352,0,0.08625
